timestamp_ps,link,node,qber,key_rate_sifted,key_rate_final,detection_count,error_count,dark_count_rate,detector_efficiency,back_reflection_power,phase_error_rate,label,fault_id
10000000000,Koganei_A_Koganei_B,Koganei_A,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
10000000000,Koganei_B_Otemachi,Koganei_B,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
10000000000,Otemachi_Hakusan,Otemachi,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
10000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
20000000000,Koganei_A_Koganei_B,Koganei_A,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
20000000000,Koganei_B_Otemachi,Koganei_B,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
20000000000,Otemachi_Hakusan,Otemachi,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
20000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
30000000000,Koganei_A_Koganei_B,Koganei_A,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
30000000000,Koganei_B_Otemachi,Koganei_B,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
30000000000,Otemachi_Hakusan,Otemachi,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
30000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
40000000000,Koganei_A_Koganei_B,Koganei_A,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
40000000000,Koganei_B_Otemachi,Koganei_B,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
40000000000,Otemachi_Hakusan,Otemachi,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
40000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
50000000000,Koganei_A_Koganei_B,Koganei_A,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
50000000000,Koganei_B_Otemachi,Koganei_B,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
50000000000,Otemachi_Hakusan,Otemachi,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
50000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
60000000000,Koganei_A_Koganei_B,Koganei_A,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
60000000000,Koganei_B_Otemachi,Koganei_B,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
60000000000,Otemachi_Hakusan,Otemachi,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
60000000000,Hakusan_Hongo,Hakusan,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
70000000000,Koganei_A_Koganei_B,Koganei_A,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
70000000000,Koganei_B_Otemachi,Koganei_B,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
70000000000,Otemachi_Hakusan,Otemachi,0.0,0.0,0.0,256,0,100,0.8,0.0,0.0,normal,0
